date,high,low,cache,share_count,amount_in_shares,overall_result,comission,tax
2014-01-06,325.45,313.66,400000,0,0.0,400000.0,0,0
2014-01-08,317.95,311.6,400000,0,0.0,400000.0,0,0
2014-01-09,317.2,311.61,400000,0,0.0,400000.0,0,0
2014-01-10,314.43,304.41,400000,0,0.0,400000.0,0,0
2014-01-13,323.3,311.1,400000,0,0.0,400000.0,0,0
2014-01-14,315.9,309.27,400000,0,0.0,400000.0,0,0
2014-01-15,321.58,312.1,400000,0,0.0,400000.0,0,0
2014-01-16,319.5,310.85,400000,0,0.0,400000.0,0,0
2014-01-17,316.16,310.41,400000,0,0.0,400000.0,0,0
2014-01-20,313.28,305.72,400000,0,0.0,400000.0,0,0
2014-01-21,315.39,312.11,400000,0,0.0,400000.0,0,0
2014-01-22,312.4,306.23,400000,0,0.0,400000.0,0,0
2014-01-23,308.68,306.12,400000,0,0.0,400000.0,0,0
2014-01-24,308.99,301.4,400000,0,0.0,400000.0,0,0
2014-01-27,305.84,297.16,400000,0,0.0,400000.0,0,0
2014-01-28,304.3,297.38,400000,0,0.0,400000.0,0,0
2014-01-29,304.21,291.2,400000,0,0.0,400000.0,0,0
2014-01-30,295.8,289.1,400000,0,0.0,400000.0,0,0
2014-01-31,297.18,285.55,400000,0,0.0,400000.0,0,0
2014-02-03,291.2,285.55,400000,0,0.0,400000.0,0,0
2014-02-04,302.48,286.06,400000,0,0.0,400000.0,0,0
2014-02-05,302.48,294.0,400000,0,0.0,400000.0,0,0
2014-02-06,304.0,295.7,400000,0,0.0,400000.0,0,0
2014-02-07,301.73,297.41,400000,0,0.0,400000.0,0,0
2014-02-10,303.72,298.68,400000,0,0.0,400000.0,0,0
2014-02-11,305.2,299.5,400000,0,0.0,400000.0,0,0
2014-02-12,305.88,301.5,400000,0,0.0,400000.0,0,0
2014-02-13,302.12,294.07,400000,0,0.0,400000.0,0,0
2014-02-14,298.36,295.3,400000,0,0.0,400000.0,0,0
2014-02-17,300.04,296.68,400000,0,0.0,400000.0,0,0
2014-02-18,299.4,293.51,400000,0,0.0,400000.0,0,0
2014-02-19,296.32,287.01,400000,0,0.0,400000.0,0,0
2014-02-20,285.44,281.29,400000,0,0.0,400000.0,0,0
