date,high,low,cache,share_count,amount_in_shares,overall_result,comission,tax,total_tax
2025-03-01,249.95,248.15,400000.0,0,0.0,400000.0,0,0,0
2025-03-02,248.85,247.0,400000.0,0,0.0,400000.0,0,0,0
2025-03-03,247.0,236.1,400000.0,0,0.0,400000.0,0,0,0
2025-03-04,249.95,239.6,400000.0,0,0.0,400000.0,0,0,0
2025-03-05,251.1,244.05,400000.0,0,0.0,400000.0,0,0,0
2025-03-06,247.55,242.35,400000.0,0,0.0,400000.0,0,0,0
2025-03-07,246.6,238.8,400000.0,0,0.0,400000.0,0,0,0
2025-03-10,243.95,239.05,400000.0,0,0.0,400000.0,0,0,0
2025-03-11,242.8,236.9,400000.0,0,0.0,400000.0,0,0,0
2025-03-12,242.9,238.75,400000.0,0,0.0,400000.0,0,0,0
2025-03-13,248.0,237.5,400000.0,0,0.0,400000.0,0,0,0
2025-03-14,248.0,239.1,400000.0,0,0.0,400000.0,0,0,0
2025-03-15,247.5,245.55,400000.0,0,0.0,400000.0,0,0,0
2025-03-16,250.0,246.1,400000.0,0,0.0,400000.0,0,0,0
2025-03-17,250.9,244.5,400000.0,0,0.0,400000.0,0,0,0
2025-03-18,248.95,242.0,400000.0,0,0.0,400000.0,0,0,0
2025-03-19,244.9,241.25,400000.0,0,0.0,400000.0,0,0,0
2025-03-20,243.7,237.75,400000.0,0,0.0,400000.0,0,0,0
2025-03-21,242.55,237.05,400000.0,0,0.0,400000.0,0,0,0
2025-03-24,241.15,236.8,400000.0,0,0.0,400000.0,0,0,0
2025-03-25,239.95,234.2,400000.0,0,0.0,400000.0,0,0,0
2025-03-26,240.0,234.4,400000.0,0,0.0,400000.0,0,0,0
